Publisher Code,Average Price
ADIN,1.379210743801653
ALK,20.574057851239672
ALKB,18.51
AMEH,300.0
APTK,750.0
ATPP,923.0
AUMK,2.964421487603306
BANA,603.0
BGOR,158.0
BIKF,1.0890795454545457
BIM,16.30960743801653
BLTU,100.0
CBNG,3.2
CDHV,17.0
CEVI,272.89669421487605
CKB,350.0
CKBKO,100.0
DEBA,1.55
DIMI,185.0
EDST,61.0
ELMA,39.0
ELNC,3.15
ENER,1.2
ENSA,0.0
EUHA,15.0
EUMK,9.785
EVRO,3.0910247933884296
FAKM,6.984
FERS,52.38355371900826
FKTL,620.0
FROT,185.0
FUBT,2.101
GALE,300.0
GDKM,1.238995867768595
GECK,484.297520661157
GECT,484.297520661157
GIMS,9.24
GRDN,310.0
GRNT,1.3496404958677686
GRSN,150.0
GRZD,2.25
GTC,1.79
GTRG,3.0
IJUG,5.168353846153846
INB,3.5639504132231403
INHO,4.005
INOV,773.0
INPR,4.5
INTP,2.14
JAKO,94.8529411764706
JUSK,5.01383495145631
KARO,1.6742314049586777
KDFO,1.235
KJUBI,1.2237892561983472
KKST,320.0
KLST,120.0
KMB,19.40745867768595
KMPR,372.0
KOMU,480.0
KONF,100.0
KONZ,119.0
KORZ,120.0
KPSS,338.1280991735537
KULT,1.5
KVAS,12.0
LAJO,615.0
LHND,615.0
LOTO,176.15702479338842
LOZP,2.619
MAGP,6.15
