Publisher Code,Max Price,Min Price
ADIN,"1.800,00","1.000,00"
ALK,"23.299,00","17.700,00"
ALKB,"18.510,00","18.510,00"
AMEH,"300,00","300,00"
APTK,"750,00","750,00"
ATPP,"923,00","923,00"
AUMK,"3.040,00","2.950,00"
BANA,"603,00","603,00"
BGOR,"158,00","158,00"
BIKF,"1.357,00","1.086,00"
BIM,"18.001,00","15.550,00"
BLTU,"100,00","100,00"
CBNG,"3.200,00","3.200,00"
CDHV,"17.000,00","17.000,00"
CEVI,"400,00","199,00"
CKB,"350,00","350,00"
CKBKO,"100,00","100,00"
DEBA,"1.550,00","1.550,00"
DIMI,"185,00","185,00"
EDST,"61,00","61,00"
ELMA,"39,00","39,00"
ELNC,"3.150,00","3.150,00"
ENER,"1.200,00","1.200,00"
ENSA,,
EUHA,"15,00","15,00"
EUMK,"9.785,00","9.785,00"
EVRO,"3.168,00","2.900,00"
FAKM,"6.984,00","6.984,00"
FERS,"53.561,00","50.500,00"
FKTL,"620,00","620,00"
FROT,"185,00","185,00"
FUBT,"2.101,00","2.101,00"
GALE,"300,00","300,00"
GDKM,"1.240,00","1.213,00"
GECK,"500,00","310,00"
GECT,"500,00","310,00"
GIMS,"9.240,00","9.240,00"
GRDN,"310,00","310,00"
GRNT,"1.799,00","1.120,00"
GRSN,"150,00","150,00"
GRZD,"2.250,00","2.250,00"
GTC,"1.790,00","1.790,00"
GTRG,"3.000,00","3.000,00"
IJUG,"9.225,00","2.286,00"
INB,"4.299,00","2.716,00"
INHO,"4.005,00","4.005,00"
INOV,"773,00","773,00"
INPR,"4.500,00","4.500,00"
INTP,"2.140,00","2.140,00"
JAKO,"95,00","93,00"
JUSK,"5.050,00","5.000,00"
KARO,"1.855,00","1.538,00"
KDFO,"1.235,00","1.235,00"
KJUBI,"1.245,00","1.200,00"
KKST,"320,00","320,00"
KLST,"120,00","120,00"
KMB,"24.998,00","13.298,00"
KMPR,"372,00","372,00"
KOMU,"480,00","480,00"
KONF,"100,00","100,00"
KONZ,"119,00","119,00"
KORZ,"120,00","120,00"
KPSS,"350,00","333,00"
KULT,"1.500,00","1.500,00"
KVAS,"12.000,00","12.000,00"
LAJO,"615,00","615,00"
LHND,"615,00","615,00"
LOTO,"180,00","150,00"
LOZP,"2.619,00","2.619,00"
MAGP,"6.150,00","6.150,00"
